,Names,Ages,Positions,Clubs,Nationalities,"Values, €"
1622,Pascal Stenzel,26,RB,VfB Stuttgart,Germany,1.50m
1623,Pascal Struijk,23,CB,Leeds United,Netherlands,20.00m
1624,Pasquale Mazzocchi,27,RB,US Salernitana 1919,Italy,5.00m
1625,Patric,46,DM,Клуба нет,France,-
1626,Patrick Bamford,29,CF,Leeds United,England,12.00m
1627,Patrick Ciurria,28,RW,AC Monza,Italy,1.80m
1628,Patrick Herrmann,32,RW,Borussia Mönchengladbach,Germany,2.00m
1629,Patrick Osterhage,23,CM,VfL Bochum,Germany,1.50m
1630,Patrick Wimmer,21,RW,VfL Wolfsburg,Austria,8.00m
1631,Patrik Schick,27,CF,Bayer 04 Leverkusen,Czech Republic,38.00m
1632,Patson Daka,24,CF,Leicester City,Zambia,20.00m
1633,Pau López,28,GK,Olympique Marseille,Spain,12.00m
1634,Pau Torres,26,CB,Villarreal CF,Spain,50.00m
1635,Paul Akouokou,25,DM,Real Betis Balompié,Cote d'Ivoire,4.00m
1636,Paul Bernardoni,25,GK,Angers SCO,France,5.00m
1637,Paul Jaeckel,24,CB,1.FC Union Berlin,Germany,7.50m
1638,Paul Joly,22,RB,Dijon FCO,France,1.50m
1639,Paul Seguin,27,CM,1.FC Union Berlin,Germany,2.20m
1640,Paul Wanner,17,AM,Bayern Munich,Austria,3.00m
1641,Paulinho,34,AM,Sport Club Corinthians Paulista,Brazil,1.50m
1642,Paulo Dybala,29,SS,AS Roma,Argentina,30.00m
1643,Paulo Gazzaniga,31,GK,Girona FC,Argentina,2.50m
1644,Paulo Otávio,28,LB,VfL Wolfsburg,Brazil,6.50m
1645,Pavel Kaderabek,30,RB,TSG 1899 Hoffenheim,Czech Republic,4.00m
1646,Pawel Dawidowicz,27,CB,Hellas Verona,Poland,3.50m
1647,Pedri,20,CM,FC Barcelona,Spain,100.00m
1648,Pedro,35,RW,SS Lazio,Spain,2.50m
1649,Pedro Bigas,32,CB,Elche CF,Spain,1.00m
1650,Pedro Chirivella,25,CM,FC Nantes,Spain,6.00m
1651,Pedro Obiang,30,CM,US Sassuolo,Equatorial Guinea,900k
1652,Pele,-,CF,------,Brazil,-
1653,Pep Chavarría,24,LB,Rayo Vallecano,Spain,1.00m
1654,Pepe,27,RW,OGC Nice,Cote d'Ivoire,22.00m
1655,Pepê,27,RW,OGC Nice,Cote d'Ivoire,22.00m
1656,Pere Milla,30,LW,Elche CF,Spain,3.00m
1657,Perr Schuurs,23,CB,Torino FC,Netherlands,12.00m
1658,Pervis Estupiñán,25,LB,Brighton & Hove Albion,Ecuador,20.00m
1659,Petar Musa,24,CF,SL Benfica,Croatia,5.00m
1660,Petar Stojanovic,27,RB,FC Empoli,Slovenia,2.80m
1661,Petko Hristov,23,CB,Venezia FC,Bulgaria,1.00m
1662,Phil Foden,22,LW,Manchester City,England,110.00m
1663,Philipp Förster,28,AM,VfL Bochum,Germany,2.00m
1664,Philipp Hofmann,29,CF,VfL Bochum,Germany,2.50m
1665,Philipp Lienhart,26,CB,SC Freiburg,Austria,20.00m
1666,Philippe Coutinho,30,LW,Aston Villa,Brazil,18.00m
1667,Piero Hincapié,21,CB,Bayer 04 Leverkusen,Ecuador,25.00m
1668,Pierre Kalulu,22,CB,AC Milan,France,35.00m
1669,Pierre Lees-Melou,29,CM,Stade Brestois 29,France,4.50m
1670,Pierre-Emerick Aubameyang,33,CF,Chelsea FC,Gabon,12.00m
1671,Pierre-Emile Höjbjerg,27,CM,Tottenham Hotspur,Denmark,45.00m
1672,Pierrick Capelle,35,LM,Angers SCO,France,300k
1673,Pietro Pellegri,21,CF,Torino FC,Italy,5.00m
1674,Pietro Terracciano,32,GK,ACF Fiorentina,Italy,2.00m
1675,Piotr Zielinski,28,CM,SSC Napoli,Poland,40.00m
1676,Pol Lirola,25,RB,Elche CF,Spain,3.00m
1677,Pol Lozano,23,CM,Granada CF,Spain,1.50m
1678,Portu,30,RW,Getafe CF,Spain,5.00m
1679,Predrag Rajković,27,GK,RCD Mallorca,Serbia,10.00m
1680,Presnel Kimpembe,27,CB,Paris Saint-Germain,France,40.00m
1681,Przemyslaw Frankowski,27,RM,RC Lens,Poland,7.00m
1682,Quentin Merlin,20,LB,FC Nantes,France,7.00m
1683,Radamel Falcao,37,CF,Rayo Vallecano,Colombia,2.00m
1684,Rade Krunic,29,CM,AC Milan,Bosnia-Herzegovina,9.00m
1685,Rafa Mir,25,CF,Sevilla FC,Spain,12.00m
1686,Rafa Silva,29,SS,SL Benfica,Portugal,23.00m
1687,Rafael Borré,27,CF,Eintracht Frankfurt,Colombia,16.00m
1688,Rafael Leão,23,LW,AC Milan,Portugal,85.00m
1689,Rafael Ratão,27,LW,FC Toulouse,Brazil,2.50m
1690,Rafal Gikiewicz,35,GK,FC Augsburg,Poland,1.20m
1691,Raheem Sterling,28,LW,Chelsea FC,England,70.00m
1692,Ramón Terrats,22,DM,Villarreal CF B,Spain,1.50m
1693,Ramy Bensebaini,27,LB,Borussia Mönchengladbach,Algeria,20.00m
1694,Randal Kolo Muani,24,CF,Eintracht Frankfurt,France,37.00m
1695,Randy Nteka,25,AM,Elche CF,France,2.50m
1696,Rani Khedira,29,DM,1.FC Union Berlin,Germany,8.00m
1697,Raoul Bellanova,22,RB,Inter Milan,Italy,7.00m
1698,Raphael Framberger,27,RB,SV Sandhausen,Germany,1.00m
1699,Raphaël Guerreiro,29,LB,Borussia Dortmund,Portugal,20.00m
1700,Raphael Onyedika,21,DM,Club Brugge KV,Nigeria,13.00m
1701,Raphaël Varane,29,CB,Manchester United,France,40.00m
1702,Raphinha,26,RW,FC Barcelona,Brazil,50.00m
1703,Rasmus Höjlund,20,CF,Atalanta BC,Denmark,15.00m
1704,Rasmus Nicolaisen,25,CB,FC Toulouse,Denmark,5.00m
1705,Raúl Albiol,37,CB,Villarreal CF,Spain,3.00m
1706,Raúl García,36,CF,Athletic Bilbao,Spain,2.50m
1707,Raúl Guti,26,CM,Elche CF,Spain,3.00m
1708,Raúl Jiménez,31,CF,Wolverhampton Wanderers,Mexico,12.00m
1709,Rayan Cherki,19,AM,Olympique Lyon,France,18.00m
1710,Rayan Raveloson,26,DM,AJ Auxerre,Madagascar,1.50m
1711,Razvan Marin,26,CM,FC Empoli,Romania,8.00m
1712,Reinier,21,AM,Girona FC,Brazil,4.00m
1713,Reinildo Mandava,29,LB,Atlético de Madrid,Mozambique,25.00m
1714,Reiss Nelson,23,RW,Arsenal FC,England,7.00m
1715,Rémi Oudin,26,RW,US Lecce,France,4.00m
1716,Remo Freuler,30,CM,Nottingham Forest,Switzerland,13.00m
1717,Rémy Cabella,32,AM,LOSC Lille,France,5.00m
1718,Rémy Descamps,26,GK,FC Nantes,France,800k
1719,Rémy Dugimont,36,LW,AJ Auxerre,France,300k
1720,Renan Lodi,24,LB,Nottingham Forest,Brazil,20.00m
1721,Renato Sanches,25,CM,Paris Saint-Germain,Portugal,25.00m
1722,Renato Steffen,31,RW,FC Lugano,Switzerland,1.00m
1723,Renato Tapia,27,DM,Celta de Vigo,Peru,9.00m
1724,Renaud Ripart,29,RW,ESTAC Troyes,France,3.00m
1725,Riad Nouri,37,RW,AC Ajaccio,France,250k
1726,Ricardo Rodríguez,30,CB,Torino FC,Switzerland,3.50m
1727,Riccardo Orsolini,26,RW,Bologna FC 1909,Italy,7.50m
1728,Riccardo Saponara,31,AM,ACF Fiorentina,Italy,2.00m
1729,Richarlison,25,CF,Tottenham Hotspur,Brazil,55.00m
1730,Richie Laryea,28,RB,Toronto FC,Canada,2.50m
1731,Rico Henry,25,LB,Brentford FC,England,22.00m
1732,Ridle Baku,24,RB,VfL Wolfsburg,Germany,13.00m
1733,Ritsu Doan,24,RW,SC Freiburg,Japan,15.00m
1734,Riyad Mahrez,32,RW,Manchester City,Algeria,30.00m
1735,Rob Holding,27,CB,Arsenal FC,England,10.00m
1736,Robert Andrich,28,CM,Bayer 04 Leverkusen,Germany,11.00m
1737,Robert Gumny,24,RB,FC Augsburg,Poland,3.50m
1738,Robert Lewandowski,34,CF,FC Barcelona,Poland,45.00m
1739,Robert Navarro,20,AM,Real Sociedad,Spain,4.00m
1740,Robert Sánchez,25,GK,Brighton & Hove Albion,Spain,32.00m
1741,Robert Skov,26,RM,TSG 1899 Hoffenheim,Denmark,9.00m
1742,Roberto Alvarado,24,RW,Deportivo Guadalajara,Mexico,5.00m
1743,Roberto Firmino,31,CF,Liverpool FC,Brazil,28.00m
1744,Roberto Gagliardini,28,CM,Inter Milan,Italy,6.50m
1745,Roberto Pereyra,32,CM,Udinese Calcio,Argentina,6.50m
1746,Roberto Piccoli,22,CF,FC Empoli,Italy,3.50m
1747,Roberto Soriano,32,AM,Bologna FC 1909,Italy,3.50m
1748,Robin Gosens,28,LM,Inter Milan,Germany,18.00m
1749,Robin Knoche,30,CB,1.FC Union Berlin,Germany,5.00m
1750,Robin Koch,26,CB,Leeds United,Germany,18.00m
1751,Robin Le Normand,26,CB,Real Sociedad,France,35.00m
1752,Robin Olsen,33,GK,Aston Villa,Sweden,2.00m
1753,Robin Zentner,28,GK,1.FSV Mainz 05,Germany,5.00m
1754,Rocco Reitz,20,CM,Sint-Truidense VV,Germany,650k
1755,Rodri,31,AM,Olympiacos Piraeus,Colombia,9.00m
1756,Rodri Sánchez,23,LW,Real Betis Balompié,Spain,7.00m
1757,Rodrigo,22,RW,Real Madrid,Brazil,80.00m
1758,Rodrigo Battaglia,31,DM,RCD Mallorca,Argentina,1.50m
1759,Rodrigo Becão,27,CB,Udinese Calcio,Brazil,10.00m
1760,Rodrigo Bentancur,25,CM,Tottenham Hotspur,Uruguay,40.00m
1761,Rodrigo de Paul,28,CM,Atlético de Madrid,Argentina,40.00m
1762,Rodrigo Ely,29,CB,UD Almería,Brazil,3.00m
1763,Rodrigo Pinho,31,CF,Coritiba Foot Ball Club,Brazil,2.00m
1764,Rodrigo Riquelme,22,LW,Girona FC,Spain,7.50m
1765,Rodrigo Zalazar,23,AM,FC Schalke 04,Uruguay,3.50m
1766,Rodrygo,22,RW,Real Madrid,Brazil,80.00m
1767,Roger Ibañez,24,CB,AS Roma,Brazil,27.00m
1768,Roger Martí,32,CF,Cádiz CF,Spain,2.50m
1769,Rogério,50,GK,Клуба нет,Brazil,-
1770,Rolando Mandragora,25,DM,ACF Fiorentina,Italy,9.00m
1771,Romain Del Castillo,26,RM,Stade Brestois 29,France,3.00m
1772,Romain Faivre,24,RM,FC Lorient,France,10.00m
1773,Romain Hamouma,35,CF,AC Ajaccio,France,600k
1774,Romain Perraud,25,LB,Southampton FC,France,10.00m
1775,Romain Saïss,32,CB,Besiktas JK,Morocco,6.50m
1776,Roman Yaremchuk,27,CF,Club Brugge KV,Ukraine,12.00m
1777,Romano Schmid,23,AM,SV Werder Bremen,Austria,4.50m
1778,Romelu Lukaku,29,CF,Inter Milan,Belgium,55.00m
1779,Rominigue Kouamé,26,CM,ESTAC Troyes,Mali,5.00m
1780,Ronaël Pierre-Gabriel,24,RB,RCD Espanyol Barcelona,France,4.50m
1781,Ronald Araújo,23,CB,FC Barcelona,Uruguay,60.00m
1782,Ronaldinho,42,AM,Клуба нет,Brazil,-
1783,Ronaldo,38,CF,Al-Nassr FC,Portugal,20.00m
1784,Ronaldo Vieira,24,CM,Torino FC,England,3.00m
1785,Rony Lopes,27,RW,ESTAC Troyes,Portugal,4.00m
1786,Roque Mesa,33,CM,Real Valladolid CF,Spain,2.50m
1787,Ross Barkley,29,CM,OGC Nice,England,10.00m
1788,Ruan Tressoldi,23,CB,US Sassuolo,Brazil,3.80m
1789,Rubén Alcaraz,31,CM,Cádiz CF,Spain,2.00m
1790,Rúben Dias,25,CB,Manchester City,Portugal,75.00m
1791,Rubén García,29,LW,CA Osasuna,Spain,6.00m
1792,Ruben Loftus-Cheek,27,CM,Chelsea FC,England,25.00m
1793,Rúben Neves,25,DM,Wolverhampton Wanderers,Portugal,40.00m
1794,Rubén Peña,31,RB,CA Osasuna,Spain,2.50m
1795,Rubén Sobrino,30,CF,Cádiz CF,Spain,2.00m
1796,Rubén Vargas,24,LW,FC Augsburg,Switzerland,6.00m
1797,Rui Patrício,35,GK,AS Roma,Portugal,5.00m
1798,Rui Silva,29,GK,Real Betis Balompié,Portugal,15.00m
1799,Ruslan Malinovskyi,29,AM,Olympique Marseille,Ukraine,18.00m
1800,Ryan Christie,28,AM,AFC Bournemouth,Scotland,9.00m
1801,Ryan Fraser,29,LW,Newcastle United,Scotland,10.00m
1802,Ryan Fredericks,30,RB,AFC Bournemouth,England,2.00m
1803,Ryan Gravenberch,20,CM,Bayern Munich,Netherlands,30.00m
1804,Ryan Sessegnon,22,LM,Tottenham Hotspur,England,22.00m
1805,Ryan Yates,25,CM,Nottingham Forest,England,8.00m
1806,Sacha Delaye,20,CM,Le Puy Foot 43 Auvergne,France,500k
1807,Sada Thioub,27,RW,Angers SCO,Senegal,2.00m
1808,Sadegh Moharrami,26,RB,GNK Dinamo Zagreb,Iran,2.00m
1809,Sadio Mané,30,LW,Bayern Munich,Senegal,60.00m
1810,Saël Kumbedi,17,RB,Olympique Lyon,France,1.00m
1811,Saïd Benrahma,27,LW,West Ham United,Algeria,22.00m
1812,Saîf-Eddine Khaoui,27,AM,Clermont Foot 63,Tunisia,1.50m
1813,Saleh Al-Shehri,29,CF,Al-Hilal Saudi FC,Saudi Arabia,700k
1814,Salem Al-Dawsari,31,LW,Al-Hilal Saudi FC,Saudi Arabia,1.80m
1815,Salih Özcan,25,DM,Borussia Dortmund,Turkey,17.00m
1816,Salis Abdul Samed,22,DM,RC Lens,Ghana,10.00m
1817,Salomón Rondón,33,CF,CA River Plate,Venezuela,2.00m
1818,Salvi Sánchez,31,RW,Rayo Vallecano,Spain,1.80m
1819,Sam Adekugbe,28,LB,Galatasaray,Canada,2.00m
1820,Sam Greenwood,21,AM,Leeds United,England,4.00m
1821,Sam Lammers,25,CF,UC Sampdoria,Netherlands,2.80m
1822,Sam Surridge,24,CF,Nottingham Forest,England,3.50m
1823,Saman Ghoddos,29,AM,Brentford FC,Iran,2.20m
1824,Samu Castillejo,28,RW,Valencia CF,Spain,8.00m
1825,Samú Costa,22,DM,UD Almería,Portugal,5.00m
1826,Samuel Chukwueze,23,RW,Villarreal CF,Nigeria,20.00m
1827,Samuel Edozie,20,LW,Southampton FC,England,7.00m
1828,Samuel Gigot,29,CB,Olympique Marseille,France,10.00m
1829,Samuel Lino,23,LW,Valencia CF,Brazil,16.00m
1830,Samuel Moutoussamy,26,CM,FC Nantes,DR Congo,3.50m
1831,Samuel Oum Gouet,25,DM,KV Mechelen,Cameroon,1.30m
1832,Samuel Piette,28,DM,CF Montréal,Canada,2.50m
1833,Samuel Umtiti,29,CB,US Lecce,France,2.00m
1834,Samuele Birindelli,23,RB,AC Monza,Italy,2.30m
1835,Samuele Ricci,21,DM,Torino FC,Italy,12.00m
1836,Sandi Lovric,24,CM,Udinese Calcio,Slovenia,5.00m
1837,Sandro Tonali,22,DM,AC Milan,Italy,50.00m
1838,Sanjin Prcic,29,CM,RC Strasbourg Alsace,Bosnia-Herzegovina,3.50m
1839,Santi Comesaña,26,CM,Rayo Vallecano,Spain,3.50m
1840,Santiago Arzamendia,24,LB,Cádiz CF,Paraguay,1.50m
1841,Santiago Ascacíbar,26,DM,Club Estudiantes de La Plata,Argentina,6.50m
1842,Santiago Bueno,24,CB,Girona FC,Uruguay,7.00m
1843,Sardar Azmoun,28,CF,Bayer 04 Leverkusen,Iran,12.00m
1844,Sargis Adamyan,29,CF,1. FC Köln,Armenia,2.50m
1845,Saud Abdulhamid,23,RB,Al-Hilal Saudi FC,Saudi Arabia,1.70m
1846,Saúl Ñíguez,28,CM,Atlético de Madrid,Spain,15.00m
1847,Scott McKenna,26,CB,Nottingham Forest,Scotland,10.00m
1848,Scott McTominay,26,DM,Manchester United,Scotland,30.00m
1849,Sead Kolasinac,29,LB,Olympique Marseille,Bosnia-Herzegovina,3.00m
1850,Seamus Coleman,34,RB,Everton FC,Ireland,1.20m
1851,Sean Longstaff,25,CM,Newcastle United,England,22.00m
1852,Sebastiaan Bornauw,23,CB,VfL Wolfsburg,Belgium,8.50m
1853,Sebastian Polter,31,CF,FC Schalke 04,Germany,1.70m
1854,Sebastian Rode,32,CM,Eintracht Frankfurt,Germany,2.50m
1855,Sebastian Rudy,32,DM,TSG 1899 Hoffenheim,Germany,1.50m
1856,Sebastian Szymanski,23,AM,Feyenoord Rotterdam,Poland,14.00m
1857,Sebastian Walukiewicz,22,CB,FC Empoli,Poland,3.50m
1858,Sebastiano Luperto,26,CB,FC Empoli,Italy,3.00m
1859,Sébastien Corchia,32,RB,FC Nantes,France,1.20m
1860,Seifeddine Jaziri,30,CF,Zamalek SC,Tunisia,1.20m
1861,Seko Fofana,27,CM,RC Lens,Cote d'Ivoire,30.00m
1862,Sékou Mara,20,CF,Southampton FC,France,12.00m
1863,Selim Amallah,26,AM,Real Valladolid CF,Morocco,6.50m
1864,Sepp van den Berg,21,CB,FC Schalke 04,Netherlands,5.00m
1865,Serge Aurier,30,RB,Nottingham Forest,Cote d'Ivoire,6.00m
1866,Serge Gnabry,27,RW,Bayern Munich,Germany,65.00m
1867,Sergej Milinković-Savić,27,CM,SS Lazio,Serbia,60.00m
1868,Sergi Canós,26,RW,Olympiacos Piraeus,Spain,12.00m
1869,Sergi Gómez,30,CB,RCD Espanyol Barcelona,Spain,2.00m
1870,Sergi Guardiola,31,CF,Cádiz CF,Spain,2.50m
1871,Sergi Roberto,31,RB,FC Barcelona,Spain,6.00m
1872,Sergiño Dest,22,RB,AC Milan,United States,16.00m
1873,Sergio Akieme,25,LB,UD Almería,Spain,7.50m
1874,Sergio Busquets,34,DM,FC Barcelona,Spain,5.00m
1875,Sergio Camello,22,CF,Rayo Vallecano,Spain,7.00m
1876,Sergio Canales,32,AM,Real Betis Balompié,Spain,20.00m
1877,Sergio Escudero,33,LB,Real Valladolid CF,Spain,1.80m
1878,Sergio Herrera,29,GK,CA Osasuna,Spain,8.00m
1879,Sergio León,34,CF,Клуба нет,Argentina,-
1880,Sergio Ramos,36,CB,Paris Saint-Germain,Spain,6.00m
1881,Sergio Rochet,29,GK,Club Nacional,Uruguay,4.00m
1882,Serhou Guirassy,26,CF,VfB Stuttgart,Guinea,10.00m
1883,Seung-gyu Kim,32,GK,Al-Shabab Club (Riyadh),"Korea, South",900k
1884,Seung-ho Paik,25,CM,Jeonbuk Hyundai Motors,"Korea, South",1.00m
1885,Shandon Baptiste,24,CM,Brentford FC,Grenada,3.00m
1886,Shane Duffy,31,CB,Fulham FC,Ireland,2.50m
1887,Sheraldo Becker,28,SS,1.FC Union Berlin,Suriname,15.00m
1888,Shogo Taniguchi,31,CB,Al-Rayyan SC,Japan,1.80m
1889,Shon Weissman,27,CF,Granada CF,Israel,5.00m
1890,Silvan Widmer,29,RB,1.FSV Mainz 05,Switzerland,5.00m
1891,Silvère Ganvoula,26,CF,VfL Bochum,Congo,750k
1892,Simon Kjaer,33,CB,AC Milan,Denmark,5.00m
1893,Simon Mignolet,34,GK,Club Brugge KV,Belgium,5.00m
1894,Simon Terodde,34,CF,FC Schalke 04,Germany,1.00m
1895,Simon Zoller,31,CF,VfL Bochum,Germany,1.10m
1896,Simone Bastoni,26,CM,Spezia Calcio,Italy,7.50m
1897,Simone Verdi,30,AM,Hellas Verona,Italy,4.50m
1898,Sinaly Diomandé,21,CB,Olympique Lyon,Cote d'Ivoire,5.00m
1899,Siriki Dembélé,26,LW,AJ Auxerre,Scotland,2.50m
1900,Siriné Doucouré,20,CF,FC Lorient,France,500k
1901,Sofiane Boufal,29,LW,Al-Rayyan SC,Morocco,10.00m
1902,Sofiane Diop,22,LW,OGC Nice,France,18.00m
1903,Sofyan Amrabat,26,DM,ACF Fiorentina,Morocco,25.00m
1904,Solly March,28,LM,Brighton & Hove Albion,England,12.00m
1905,Soualiho Meïté,28,CM,US Cremonese,France,4.80m
1906,Souleyman Doumbia,26,LB,Angers SCO,Cote d'Ivoire,3.00m
1907,Srdjan Babic,26,CB,UD Almería,Serbia,3.00m
1908,Stanislav Lobotka,28,DM,SSC Napoli,Slovakia,30.00m
1909,Stanley Nsoki,23,CB,TSG 1899 Hoffenheim,France,8.50m
1910,Stefan Bell,31,CB,1.FSV Mainz 05,Germany,2.50m
1911,Stefan de Vrij,31,CB,Inter Milan,Netherlands,15.00m
1912,Stefan Lainer,30,RB,Borussia Mönchengladbach,Austria,3.50m
1913,Stefan Mitrović,32,CB,Getafe CF,Serbia,2.00m
1914,Stefan Ortega,30,GK,Manchester City,Germany,6.00m
1915,Stefan Posch,25,CB,Bologna FC 1909,Austria,7.00m
1916,Stefan Savic,32,CB,Atlético de Madrid,Montenegro,9.00m
1917,Stefano Sensi,27,CM,AC Monza,Italy,8.00m
1918,Steffen Tigges,24,CF,1. FC Köln,Germany,3.50m
1919,Stephan El Shaarawy,30,LW,AS Roma,Italy,5.00m
1920,Stéphane Diarra,33,DM,Eyüpspor,Senegal,400k
1921,Stephane Singo,22,RB,Torino FC,Cote d'Ivoire,14.00m
1922,Stephen Eustaquio,26,CM,FC Porto,Canada,8.00m
1923,Stephy Mavididi,24,LW,Montpellier HSC,England,8.00m
1924,Stevan Jovetic,33,CF,Hertha BSC,Montenegro,2.00m
1925,Steve Cook,31,CB,Nottingham Forest,England,3.00m
1926,Steve Mandanda,37,GK,Stade Rennais FC,France,1.50m
1927,Steven Bergwijn,25,LW,Ajax Amsterdam,Netherlands,27.00m
1928,Steven Fortes,30,CB,RC Lens,Cape Verde,500k
1929,Stijn Spierings,26,DM,FC Toulouse,Netherlands,4.00m
1930,Stole Dimitrievski,29,GK,Rayo Vallecano,North Macedonia,4.00m
1931,Stuart Armstrong,30,CM,Southampton FC,Scotland,6.00m
1932,Suat Serdar,25,CM,Hertha BSC,Germany,8.00m
1933,Suso,29,RW,Sevilla FC,Spain,7.00m
1934,Sven Botman,23,CB,Newcastle United,Netherlands,38.00m
1935,Sven Michel,32,CF,1.FC Union Berlin,Germany,1.20m
1936,Sven Ulreich,34,GK,Bayern Munich,Germany,900k
1937,Szymon Zurkowski,25,CM,Spezia Calcio,Poland,5.80m
1938,Taiwo Awoniyi,25,CF,Nottingham Forest,Nigeria,20.00m
1939,Tajon Buchanan,24,RW,Club Brugge KV,Canada,12.00m
1940,Takefusa Kubo,21,RW,Real Sociedad,Japan,12.00m
1941,Takehiro Tomiyasu,24,RB,Arsenal FC,Japan,25.00m
1942,Takuma Asano,28,RW,VfL Bochum,Japan,4.00m
1943,Takumi Minamino,28,LW,AS Monaco,Japan,10.00m
1944,Tammy Abraham,25,CF,AS Roma,England,45.00m
1945,Tanguy Ndombélé,26,CM,SSC Napoli,France,28.00m
1946,Tanguy Nianzou,20,CB,Sevilla FC,France,9.00m
1947,Tarek Salman,25,CB,Al-Sadd SC,Qatar,400k
1948,Tariq Lamptey,22,RB,Brighton & Hove Albion,Ghana,15.00m
1949,Taty Castellanos,24,CF,Girona FC,Argentina,9.00m
1950,Téji Savanier,31,AM,Montpellier HSC,France,12.00m
1951,Terem Moffi,23,CF,OGC Nice,Nigeria,15.00m
1952,Tetê,23,RW,Leicester City,Brazil,25.00m
1953,Tete Morente,26,LW,Elche CF,Spain,2.50m
1954,Teun Koopmeiners,24,DM,Atalanta BC,Netherlands,30.00m
1955,Théo Bongonda,27,RW,Cádiz CF,DR Congo,4.00m
1956,Theo Hernández,25,LB,AC Milan,France,60.00m
1957,Théo Le Bris,20,RB,FC Lorient,France,2.00m
1958,Theo Walcott,33,RW,Southampton FC,England,1.80m
1959,Thiago,31,CM,Liverpool FC,Spain,18.00m
1960,Thiago Mendes,30,DM,Olympique Lyon,Brazil,8.00m
1961,Thiago Silva,38,CB,Chelsea FC,Brazil,2.50m
1962,Thibaut Courtois,30,GK,Real Madrid,Belgium,60.00m
1963,Thierno Baldé,20,RB,ESTAC Troyes,France,4.00m
1964,Thierry Correia,23,RB,Valencia CF,Portugal,14.00m
1965,Thijs Dallinga,22,CF,FC Toulouse,Netherlands,3.00m
1966,Thilo Kehrer,26,CB,West Ham United,Germany,22.00m
1967,Thomas Delaine,30,LB,RC Strasbourg Alsace,France,1.50m
1968,Thomas Delaney,31,CM,TSG 1899 Hoffenheim,Denmark,3.00m
1969,Thomas Henry,28,CF,Hellas Verona,France,4.50m
1970,Thomas Lemar,27,AM,Atlético de Madrid,France,30.00m
1971,Thomas Mangani,35,CM,AC Ajaccio,France,600k
1972,Thomas Meunier,31,RB,Borussia Dortmund,Belgium,6.50m
1973,Thomas Müller,33,SS,Bayern Munich,Germany,18.00m
1974,Thomas Ouwejan,26,LB,FC Schalke 04,Netherlands,2.50m
1975,Thomas Partey,29,DM,Arsenal FC,Ghana,38.00m
1976,Thorgan Hazard,29,LW,PSV Eindhoven,Belgium,9.00m
1977,Thórir Jóhann Helgason,22,CM,US Lecce,Iceland,900k
1978,Tiago Djaló,22,CB,LOSC Lille,Portugal,12.00m
1979,Tiago Tomás,20,CF,VfB Stuttgart,Portugal,7.00m
1980,Tim Oermann,19,CB,Wolfsberger AC,Germany,600k
1981,Tim Ream,35,CB,Fulham FC,United States,1.00m
1982,Tim Skarke,26,RW,FC Schalke 04,Germany,1.00m
1983,Timo Baumgartl,26,CB,1.FC Union Berlin,Germany,5.00m
1984,Timo Hübers,26,CB,1. FC Köln,Germany,7.50m
1985,Timo Werner,26,CF,RB Leipzig,Germany,25.00m
1986,Timothy Castagne,27,RB,Leicester City,Belgium,28.00m
1987,Timothy Fosu-Mensah,25,RB,Bayer 04 Leverkusen,Netherlands,3.00m
1988,Timothy Weah,23,RW,LOSC Lille,United States,12.00m
1989,Tobias Mohr,27,LW,FC Schalke 04,Germany,1.80m
1990,Tobias Sippel,34,GK,Borussia Mönchengladbach,Germany,400k
1991,Tolgay Arslan,32,CM,Udinese Calcio,Germany,2.00m
1992,Tom Bischof,17,AM,TSG 1899 Hoffenheim,Germany,1.00m
1993,Tom Cairney,32,CM,Fulham FC,Scotland,2.00m
1994,Tom Davies,24,CM,Everton FC,England,12.00m
1995,Tom Krauß,21,CM,FC Schalke 04,Germany,6.00m
1996,Tom Rothe,18,LB,Borussia Dortmund,Germany,3.50m
1997,Toma Basic,26,CM,SS Lazio,Croatia,7.00m
1998,Tomas Koubek,30,GK,FC Augsburg,Czech Republic,1.00m
1999,Tomás Rincón,35,DM,UC Sampdoria,Venezuela,800k
2000,Tomas Soucek,27,DM,West Ham United,Czech Republic,45.00m
2001,Tommaso Augello,28,LB,UC Sampdoria,Italy,2.50m
2002,Tommaso Baldanzi,19,AM,FC Empoli,Italy,3.00m
2003,Tommaso Pobega,23,CM,AC Milan,Italy,18.00m
2004,Toni Kroos,33,CM,Real Madrid,Germany,20.00m
2005,Toni Lato,25,LB,Valencia CF,Spain,2.50m
2006,Toni Martínez,25,CF,FC Porto,Spain,7.00m
2007,Toni Villa,28,LW,Girona FC,Spain,2.50m
2008,Tonny Vilhena,28,CM,US Salernitana 1919,Netherlands,3.80m
2009,Tony Jantschke,32,CB,Borussia Mönchengladbach,Germany,800k
2010,Tosin Adarabioyo,25,CB,Fulham FC,England,18.00m
2011,Toti,24,CB,Wolverhampton Wanderers,Portugal,2.50m
2012,Trent Alexander-Arnold,24,RB,Liverpool FC,England,70.00m
2013,Trevoh Chalobah,23,CB,Chelsea FC,England,22.00m
2014,Tuta,23,CB,Eintracht Frankfurt,Brazil,15.00m
2015,Tymoteusz Puchacz,24,LB,Panathinaikos Athens,Poland,1.50m
2016,Tyrell Malacia,23,LB,Manchester United,Netherlands,22.00m
2017,Tyrone Mings,29,CB,Aston Villa,England,25.00m
2018,Tyronne Ebuehi,27,RB,FC Empoli,Nigeria,1.40m
